stt,word,pronunciation,meaning,word_type,example,topic,source_url
launch a new product / /lɔːntʃ ə ˈnjuː ˈprɒdʌkt/,Ra mắt sản phẩm mới,phrase,The company plans to launch a new product next quarter.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
a matter of speculation / /ə ˈmætər əv ˌspekjəˈleɪʃn/,= supposition: dự đoán,noun phrase,His future with the company is still a matter of speculation. (Tương lai của anh ấy ở công ty vẫn còn là vấn đề dự đoán.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
abroad / /əˈbrɔːd/,= oversea: nước ngoài,adverb,She plans to study abroad next year. (Cô ấy dự định đi du học nước ngoài vào năm sau.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
abrupt / /əˈbrʌpt/,= sudden: đột ngột,adjective,There was an abrupt change in the weather. (Thời tiết đã thay đổi một cách đột ngột.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
abstract / /ˈæbstrækt/,= recondite: trừu tượng khó hiểu,adjective,The professor gave a very abstract explanation. (Giáo sư đã đưa ra một lời giải thích rất trừu tượng khó hiểu.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
absurd / /əbˈsɜːrd/,= ridiculous: vô lý,adjective,His excuse was completely absurd. (Lời biện minh của anh ta hoàn toàn vô lý.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
acceleration / /ækˌseləˈreɪʃn/,= speeding up: tăng tốc,noun,The car showed strong acceleration on the highway. (Chiếc xe thể hiện khả năng tăng tốc mạnh trên đường cao tốc.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accentuate / /əkˈsentʃueɪt/,= emphasize: làm nổi bật = nhấn mạnh,verb,The lighting accentuates the beauty of the painting. (Ánh đèn làm nổi bật vẻ đẹp của bức tranh.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
acceptable / /əkˈseptəbl/,= permissible: chấp nhận được = cho phép,adjective,Your proposal is acceptable to the board. (Đề xuất của bạn được ban giám đốc chấp nhận.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accessible / /əkˈsesəbl/,= easy to reach: tiếp cận = dễ đạt được,adjective,The museum is easily accessible by bus. (Bảo tàng rất dễ tiếp cận bằng xe buýt.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accommodate / /əˈkɑːmədeɪt/,= allow for: chứa = cho phép,verb,This room can accommodate up to fifty people. (Phòng này có thể chứa tới năm mươi người.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accompany / /əˈkʌmpəni/,= join: đi cùng = tham gia,verb,She will accompany you to the meeting. (Cô ấy sẽ đi cùng bạn tới cuộc họp.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accomplished / /əˈkɑːmplɪʃt/,= achieved: hoàn thành = đạt,adjective,He is an accomplished musician. (Anh ấy là một nhạc sĩ đã đạt được nhiều thành tựu.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accorded / /əˈkɔːrdɪd/,= granted: dành được,verb,She was accorded special treatment. (Cô ấy được dành cho sự đối xử đặc biệt.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accordingly / /əˈkɔːrdɪŋli/,= consequently: một cách tương ứng = do đó,adverb,"The plan failed, and accordingly we had to start over. (Kế hoạch thất bại và do đó chúng tôi phải bắt đầu lại.)",,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
account for / /əˈkaʊnt fɔːr/,= explain: giải thích,phrasal verb,How do you account for this mistake? (Bạn giải thích lỗi này như thế nào?),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accumulate / /əˈkjuːmjəleɪt/,= collect: tích lũy = thu thập,verb,He gradually accumulated enough money to buy a house. (Anh ấy dần dần tích lũy đủ tiền để mua nhà.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
accurately / /ˈækjərətli/,= precisely: chính xác,adverb,The data must be recorded accurately. (Dữ liệu phải được ghi lại một cách chính xác.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
achieve / /əˈtʃiːv/,= subject to: đạt = hướng tới,verb,She worked hard to achieve her goals. (Cô ấy làm việc chăm chỉ để đạt được mục tiêu của mình.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
acknowledge / /əkˈnɑːlɪdʒ/,= concede: thừa nhận,verb,He finally acknowledged his mistake. (Cuối cùng anh ấy cũng thừa nhận lỗi của mình.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
acquire / /əˈkwaɪər/,= obtain: đạt được,verb,She acquired a good knowledge of English. (Cô ấy đã đạt được kiến thức tiếng Anh tốt.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
actually / /ˈæktʃuəli/,= truly: thực sự,adverb,I actually enjoyed the movie. (Tôi thực sự thích bộ phim đó.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
adapted / /əˈdæptɪd/,= modified: thích ứng/ làm rõ,adjective,The book was adapted for young readers. (Cuốn sách được chỉnh sửa cho phù hợp với độc giả nhỏ tuổi.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
added / /ˈædɪd/,= extra: thêm,adjective,There is an added fee for late registration. (Có một khoản phí thêm cho việc đăng ký muộn.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
adhere / /ədˈhɪr/,= stick together: bám/ dính vào nhau,verb,The label will not adhere to a wet surface. (Nhãn dán sẽ không bám vào bề mặt ướt.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
adjacent / /əˈdʒeɪsnt/,= nearby: liền kề = lân cận,adjective,They stayed in adjacent rooms. (Họ ở trong những phòng liền kề nhau.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
adjunction / /æˈdʒʌŋkʃn/,= appendage: hỗ trợ = phụ,noun,The garage is an adjunction to the main house. (Nhà để xe là phần phụ được gắn thêm vào ngôi nhà chính.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
adjusted / /əˈdʒʌstɪd/,= modificated: điều chỉnh,adjective,The figures have been adjusted for inflation. (Các con số đã được điều chỉnh theo lạm phát.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
admit / /ədˈmɪt/,= let in: nhận = cho phép vào trong,verb,They refused to admit him to the club. (Họ từ chối cho anh ấy vào câu lạc bộ.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
adorn / /əˈdɔːrn/,= decorate: tô điểm,verb,Flowers adorned the entrance to the hall. (Những bông hoa tô điểm cho lối vào hội trường.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
advance / /ədˈvæns/,= improvement: cải thiện,noun,There has been a major advance in technology. (Đã có một bước cải thiện lớn trong công nghệ.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
advanced / /ədˈvænst/,= progressive: tiên tiến,adjective,She is taking an advanced English course. (Cô ấy đang học một khóa tiếng Anh nâng cao.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
advent / /ˈædvent/,= arrival: đến,noun,The advent of the internet changed everything. (Sự xuất hiện của internet đã thay đổi mọi thứ.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
adverse / /ˈædvɜːrs/,= negative: tiêu cực,adjective,They had to work in adverse conditions. (Họ phải làm việc trong những điều kiện tiêu cực.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
advocating / /ˈædvəkeɪtɪŋ/,= recommending: ủng hộ = gợi ý,verb,She is advocating changes in the law. (Cô ấy đang ủng hộ việc thay đổi luật.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
affection / /əˈfekʃn/,= fondness: tình cảm/ có hứng thú,noun,He shows great affection for his children. (Anh ấy thể hiện tình cảm sâu sắc với các con.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
affluence / /ˈæfluəns/,= wealth: sung túc = giàu,noun,The family lived in affluence. (Gia đình đó sống trong sự sung túc.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
afford / /əˈfɔːrd/,= provide/purchase/originate/require: đủ khả năng yêu cầu để làm gì,verb,We cannot afford to make another mistake. (Chúng ta không đủ khả năng để mắc thêm sai lầm nào nữa.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
aggravating / /ˈæɡrəveɪtɪŋ/,= irritating: khó chịu,adjective,The noise outside is extremely aggravating. (Tiếng ồn bên ngoài cực kỳ khó chịu.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
agile / /ˈædʒaɪl/,= nimble: nhanh nhẹn,adjective,Monkeys are very agile animals. (Khỉ là những loài động vật rất nhanh nhẹn.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
agitated / /ˈædʒɪteɪtɪd/,= disturbed: quấy rầy,adjective,He became agitated when he heard the news. (Anh ấy trở nên bồn chồn khi nghe tin.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
alarming / /əˈlɑːrmɪŋ/,= upsetting: báo động/ gây khó chịu,adjective,The rise in unemployment is alarming. (Tỷ lệ thất nghiệp tăng là điều đáng báo động.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
allocates / /ˈæləkeɪts/,= designates: phân bổ = chỉ định,verb,The company allocates funds for staff training. (Công ty phân bổ ngân sách cho việc đào tạo nhân viên.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
altered / /ˈɔːltərd/,= changed: thay đổi,adjective,The plan was altered at the last minute. (Kế hoạch đã bị thay đổi vào phút chót.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
alternative / /ɔːlˈtɜːrnətɪv/,= different: thay thế/ khác nhau,adjective,We need an alternative solution. (Chúng ta cần một giải pháp thay thế.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P1) bài thi nào cũng có,https://luyentu.com/words
ambition / /æmˈbɪʃn/,= goal: mục tiêu = tham vọng,noun,His ambition is to become a doctor. (Tham vọng của anh ấy là trở thành bác sĩ.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
amenity / /əˈmiːnəti/,= facilities: cơ sở hạ tầng,noun,The hotel offers many amenities. (Khách sạn cung cấp nhiều tiện nghi.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
ample / /ˈæmpl/,= abundant: dồi dào phong phú,adjective,There is ample time to finish the work. (Có nhiều thời gian để hoàn thành công việc.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
amusement / /əˈmjuːzmənt/,= entertainment: vui chơi giải trí,noun,The amusement park is crowded today. (Công viên giải trí hôm nay rất đông.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
analogous / /əˈnæləɡəs/,= similar: tương tự,adjective,The two problems are analogous. (Hai vấn đề này tương tự nhau.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
analysis / /əˈnæləsɪs/,= examination: phân tích = kiểm tra,noun,The analysis shows an increase in sales. (Phân tích cho thấy doanh số tăng.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
anchor / /ˈæŋkər/,= hold in a place: giữ ở một nơi,verb,Large stones anchored the tent. (Những tảng đá lớn giữ cố định chiếc lều.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
annoying / /əˈnɔɪɪŋ/,= bothersome: phiền toái khó chịu,adjective,The noise outside is very annoying. (Tiếng ồn bên ngoài rất phiền toái.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
annually / /ˈænjuəli/,= yearly: hàng năm,adverb,The festival is held annually. (Lễ hội được tổ chức hằng năm.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
antecedent / /ˌæntɪˈsiːdnt/,= predecessor: tiền thân = trước,noun,The antecedent device was much slower. (Thiết bị tiền thân chậm hơn nhiều.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
anticipated / /ænˈtɪsɪpeɪtɪd/,= expected: dự đoán dự kiến,adjective,The anticipated results were accurate. (Kết quả dự kiến đã chính xác.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
antiquated / /ˈæntɪkweɪtɪd/,= outmoded: cũ/ đã lạc hậu,adjective,This machine is antiquated. (Chiếc máy này đã lạc hậu.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
anxious / /ˈæŋkʃəs/,= eager: lo lắng = háo hức,adjective,He is anxious to start the job. (Anh ấy háo hức bắt đầu công việc.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
apart from / /əˈpɑːrt frʌm/,= except: ngoài = trừ,preposition,"Apart from the rain, the trip was perfect. (Ngoài mưa ra, chuyến đi rất hoàn hảo.)",,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
apparently / /əˈpærəntli/,= seemingly: dường như/ có vẻ,adverb,"Apparently, he didn’t understand. (Dường như anh ấy không hiểu.)",,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
appeal / /əˈpiːl/,= attraction/popularity: hấp dẫn = thu hút/ phổ biến,noun,The product has wide appeal. (Sản phẩm này có sức hút lớn.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
inhabitants / /ɪnˈhæbɪtənts/,= population: dân cư = dân số,noun,The city has over one million inhabitants. (Thành phố có hơn một triệu dân.),,Sửa từXóa từ,TOEIC: Từ đồng nghĩa(P2) bài thi nào cũng có,https://luyentu.com/words
